address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,address2,industrySymbol
4 Irving Place,New York,NY,10003,United States,212 460 4600,,https://www.conedison.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,14319.0,9.0,7.0,1.0,4.0,5.0,1685577600.0,1672444800.0,86400,2,92.02,91.92,91.02,92.95,92.02,91.92,91.02,92.95,3.24,0.0352,1684195200.0,0.45360002,3.66,0.373591,13.255349,17.732824,1760983,1760983,1889356,2047910,2047910,0.0,0.0,900,1100,32200497152,78.1,102.21,2.0108972,96.068,93.78065,3.18,0.034557708,USD,53406629888.0,0.15556,346089698.0,346540000.0,7922348.0,8586520.0,1682640000.0,1685491200.0,0.0229,0.0012899999,0.71244,3.85,0.0308,0.0,60.24,1.5424966,1672444800.0,1703980800.0,1680220800.0,1.38,2491000064.0,7.01,5.24,3.13,2:1,615427200.0,3.335,10.29,0.017632246,0.15015817,0.81,1684195200.0,NYQ,EQUITY,ED,ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",-252322200,America/New_York,EDT,4e67af4d-9f8c-3d24-8c2f-eead828efbf6,finmb_263295,-14400000,92.92,103.0,70.0,90.25,92.5,3.3,hold,12.0,771000000.0,2.225,5190000128.0,22289000448.0,0.799,1.199,16012999680.0,106.938,45.209,0.03125,0.11942001,7685000000.0,-716249984.0,3553999872.0,1.382,0.084,0.48411,0.32411,0.19759001,USD,2.9439,,
"1550 Peachtree Street, NW",Atlanta,GA,30309,United States,404 885 8000,,https://www.equifax.com,Consulting Services,Consulting Services,Industrials,14000.0,3.0,2.0,10.0,8.0,9.0,1685577600.0,1672444800.0,86400,2,227.76,226.48,226.365,229.935,227.76,226.48,226.365,229.935,1.56,0.0068,1684886400.0,0.32770002,0.96,1.454929,48.05882,25.22161,562874,562874,705316,805380,805380,0.0,0.0,900,1200,28056041472,145.98,234.76,5.5435762,208.9152,197.5555,1.56,0.006849315,USD,33522040832.0,0.11595,122131103.0,122644000.0,4560279.0,4491223.0,1682640000.0,1685491200.0,0.0372,0.00419,1.00561,7.51,0.0421,0.0,33.148,6.9011707,1672444800.0,1703980800.0,1680220800.0,-0.493,586800000.0,4.76,9.07,2.36,2:1,819244800.0,6.624,21.714,0.2545793,0.15015817,0.39,1684886400.0,NYQ,EQUITY,EFX,EFX,"Equifax, Inc.",Equifax Inc.,322151400,America/New_York,EDT,35a1c087-ccaf-39b7-9675-3e5a0a0c4cb2,finmb_175749,-14400000,228.76,252.0,160.0,220.28,226.5,2.4,buy,18.0,232500000.0,1.896,1543800064.0,5802999808.0,0.643,0.772,5061000192.0,142.154,41.314,0.05235,0.14897001,2945000000.0,398975008.0,1106499968.0,-0.494,-0.045,0.56447,0.30504,0.19014,USD,2.3636,,
2244 Walnut Grove Avenue,Rosemead,CA,91770,United States,626 302 2222,626 302 2117,https://www.edison.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,13388.0,3.0,1.0,8.0,1.0,1.0,1685577600.0,1672444800.0,86400,2,68.77,68.69,68.37,69.97,68.77,68.69,68.37,69.97,2.95,0.042,1680134400.0,1.3127999,4.13,0.825352,31.840183,13.67255,1131214,1131214,1603704,1679330,1679330,0.0,0.0,800,900,26705405952,54.45,74.92,1.5510167,70.4506,66.26275,2.875,0.041806024,USD,64567746560.0,0.04867,382450677.0,382983008.0,7635321.0,8528717.0,1682640000.0,1685491200.0,0.0199,0.00096000003,0.92977995,4.66,0.028800001,0.0,35.724,1.9519092,1672444800.0,1703980800.0,1680220800.0,2.69,838000000.0,2.19,5.1,2.5,2:1,740707200.0,3.75,11.619,0.148386,0.15015817,0.738,1680134400.0,NYQ,EQUITY,EIX,EIX,Edison International,Edison International,105283800,America/New_York,EDT,37bf455b-98ec-3083-a6aa-3e0a83daa0ef,finmb_301891,-14400000,69.73,86.0,57.0,74.54,77.0,2.4,buy,13.0,836000000.0,2.183,5557000192.0,34646999040.0,0.365,0.862,17218000896.0,197.43,45.132,0.026180001,0.04764,9414000000.0,-3921874944.0,2334000128.0,2.679,-0.001,0.55372,0.32274,0.18677999,USD,2.3941,PO Box 976,
767 Fifth Avenue,New York,NY,10153,United States,212 572 4200,212 527 3764,https://www.elcompanies.com,Household & Personal Products,Household & Personal Products,Consumer Defensive,44730.0,10.0,10.0,6.0,10.0,10.0,1685577600.0,1672444800.0,86400,2,197.55,196.3,193.5001,197.44,197.55,196.3,193.5001,197.44,2.64,0.0134000005,1685404800.0,0.8289,0.9,1.022183,64.0625,36.676083,2070267,2070267,2243427,2989940,2989940,0.0,0.0,800,800,69606178816,175.05,284.45,4.3882346,211.6012,231.9671,2.52,0.012756264,USD,75493941248.0,0.06878,230502804.0,231871008.0,3339514.0,2534099.0,1682640000.0,1685491200.0,0.0093,0.00487,0.91297996,1.11,0.014400001,0.0,16.445,11.842505,1656547200.0,1688083200.0,1680220800.0,-0.72,1091000064.0,3.04,5.31,15.55,2:1,1327276800.0,4.759,28.19,-0.24678993,0.15015817,0.66,1685404800.0,NYQ,EQUITY,EL,EL,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.,816618600,America/New_York,EDT,d4e8bee5-0f20-33fb-8ed5-daaf3c41980d,finmb_207221,-14400000,194.75,280.0,205.0,239.46,240.0,2.2,buy,27.0,5532000256.0,15.478,2678000128.0,9600000000.0,0.966,1.461,15861999616.0,143.369,44.329,0.05528,0.15887,13432000000.0,1273374976.0,2088000000.0,-0.719,-0.116,0.72053003,0.16882999,0.12287,USD,3.7147,,
200 South Wilcox Drive,Kingsport,TN,37662,United States,423 229 2000,423 229 2145,https://www.eastman.com,Specialty Chemicals,Specialty Chemicals,Basic Materials,14500.0,3.0,6.0,6.0,6.0,5.0,1685577600.0,1672444800.0,86400,2,80.26,79.79,78.83,80.8896,80.26,79.79,78.83,80.8896,3.16,0.0382,1686700800.0,0.5467,3.1,1.517253,14.005292,8.774586,732012,732012,898238,992070,992070,0.0,0.0,1300,1000,9461860352,69.91,102.18,0.92059356,81.2294,82.44115,3.1,0.03862447,USD,15070279680.0,0.067329995,118360634.0,119152000.0,1449561.0,1991162.0,1682640000.0,1685491200.0,0.012200001,0.0068699997,0.86192,1.77,0.0139999995,0.0,43.541,1.8237983,1672444800.0,1703980800.0,1680220800.0,-0.43,692000000.0,5.67,9.05,1.14,2:1,1317686400.0,1.466,8.813,-0.080902755,0.15015817,0.79,1686700800.0,NYQ,EQUITY,EMN,EMN,Eastman Chemical Company,Eastman Chemical Company,755879400,America/New_York,EDT,53160944-e94b-3431-9a58-cabc22d8b8b2,finmb_109103,-14400000,79.41,115.0,80.0,95.41,93.5,2.4,buy,22.0,599000000.0,5.027,1710000000.0,5744999936.0,0.652,1.337,10277999616.0,109.179,84.96,0.050180003,0.123500004,2176000000.0,1302000000.0,956000000.0,-0.378,-0.111,0.2087,0.16636999,0.12026,USD,1.2822,,
8000 West Florissant Avenue,Saint Louis,MO,63136,United States,314 553 2000,,https://www.emerson.com,Specialty Industrial Machinery,Specialty Industrial Machinery,Industrials,85500.0,9.0,3.0,2.0,10.0,8.0,1685577600.0,1672444800.0,86400,2,86.78,86.15,85.97,87.59,86.78,86.15,85.97,87.59,2.08,0.024,1683763200.0,0.41990003,2.64,1.389436,17.738337,18.846983,1988571,1988571,3187616,2907390,2907390,0.0,0.0,800,800,49977675776,72.41,99.65,2.4606214,83.4796,86.26965,2.07,0.023853421,USD,64105771008.0,0.23554,566693685.0,571500032.0,5869582.0,5266656.0,1682640000.0,1685491200.0,0.010299999,0.0033399998,0.78146005,1.92,0.010299999,0.0,19.878,4.399336,1664496000.0,1696032000.0,1680220800.0,0.175,2912000000.0,4.93,4.64,2.07,2:1,1165881600.0,3.156,13.075,0.124180436,0.15015817,0.52,1683763200.0,NYQ,EQUITY,EMR,EMR,Emerson Electric Company,Emerson Electric Co.,76253400,America/New_York,EDT,8d4c0b2c-ef25-3d21-ab68-0366c8b1c6bf,finmb_269231,-14400000,87.45,120.0,89.0,103.43,103.0,2.1,buy,21.0,2046000000.0,3.58,4903000064.0,10570000384.0,0.58,1.19,20310999040.0,60.933,34.746,0.07209,0.20628999,8188000000.0,3077499904.0,2443000064.0,0.22,0.141,0.42922002,0.24139999,0.1864,USD,3.6279,PO Box 4100,
1111 Bagby Street,Houston,TX,77002,United States,713 651 7000,713 651 6995,https://www.eogresources.com,Oil & Gas E&P,Oil & Gas E&P,Energy,2850.0,3.0,6.0,2.0,2.0,2.0,1685577600.0,1672444800.0,86400,2,110.33,110.2,110.01,112.38,110.33,110.2,110.01,112.38,3.3,0.0291,1689292800.0,0.19219999,1.89,1.544014,6.929375,8.463359,2598533,2598533,3424224,3917680,3917680,0.0,0.0,2200,900,64843321344,92.16,150.88,2.280726,114.119,122.78035,3.15,0.028550712,USD,65484820480.0,0.33034,582659573.0,584859008.0,8095158.0,7849088.0,1682640000.0,1685491200.0,0.0138,0.00476,0.90538,2.39,0.0139,0.0,43.511,2.5480912,1672444800.0,1703980800.0,1680220800.0,4.187,9392000000.0,16.0,13.1,-9.9,2:1,1396310400.0,2.303,4.17,0.03452456,0.15015817,0.825,1681344000.0,NYQ,EQUITY,EOG,EOG,"EOG Resources, Inc.","EOG Resources, Inc.",623511000,America/New_York,EDT,d1bb52dc-b58a-35ed-be21-e5c7f866adf9,finmb_269660,-14400000,110.87,167.0,109.0,142.61,144.0,1.9,buy,28.0,5017999872.0,8.58,15703000064.0,4174000128.0,1.768,2.172,28430999552.0,16.403,48.725,0.18808001,0.39977002,20132000000.0,5034500096.0,13520000000.0,4.149,-0.174,0.66164,0.55232,0.41873002,USD,2.6057,Sky Lobby 2,
One Lagoon Drive,Redwood City,CA,94065-1562,United States,(650) 598-6000,(650) 598-6900,https://www.equinix.com,REIT—Specialty,REIT—Specialty,Real Estate,12097.0,2.0,9.0,8.0,3.0,5.0,1685577600.0,1672444800.0,86400,2,780.24,773.5,737.53,783.29,780.24,773.5,737.53,783.29,13.64,0.0175,1684800000.0,1.4410001,1.73,0.630985,87.07484,72.31638,911156,911156,439814,533460,533460,752.61,781.75,1200,1300,71825891328,494.89,792.03,10.280007,729.9432,674.5563,12.71,0.01628986,USD,87340982272.0,0.116739996,93202472.0,93523296.0,1544484.0,1615169.0,1682640000.0,1685491200.0,0.0165,0.00329,0.96632004,3.17,0.0216,0.0,128.633,5.9704742,1672444800.0,1703980800.0,1680220800.0,0.755,815678016.0,8.82,10.62,4.67,1:32,1041292800.0,12.501,34.064,0.13371325,0.15015817,3.41,1684800000.0,NMS,EQUITY,EQIX,EQIX,"Equinix, Inc.","Equinix, Inc.",966000600,America/New_York,EDT,fe2fc2a9-fbf8-3b74-aa49-1c336ad07846,finmb_28202,-14400000,768.0,886.0,647.0,798.9,817.5,1.9,buy,20.0,2642577920.0,28.256,2564023040.0,17013160960.0,2.027,2.276,6986949120.0,141.436,75.847,0.01686,0.07101,2971686000.0,2645293824.0,3073466880.0,0.71,0.152,0.45016,0.36696997,0.11445,USD,4.0304,4th Floor,
Two North Riverside Plaza,Chicago,IL,60606-2624,United States,312-474-1300,(312) 454-8703,https://www.equityapartments.com,REIT—Residential,REIT—Residential,Real Estate,2400.0,5.0,7.0,1.0,9.0,7.0,1685577600.0,1672444800.0,86400,2,66.04,65.67,65.09,66.0,66.04,65.67,65.09,66.0,2.65,0.0397,1687478400.0,1.0766001,3.34,0.83169,27.758476,40.190186,1684191,1684191,1763725,2121190,2121190,0.0,0.0,900,900,24822067200,54.6,80.89,8.9066305,62.4738,63.0206,2.538,0.038431253,USD,33333129216.0,0.32946,377218543.0,378904992.0,6146367.0,6055085.0,1682640000.0,1685491200.0,0.0162,0.01711,0.93306,3.7,0.0224,0.0,29.295,2.2362177,1672444800.0,1703980800.0,1680220800.0,1.996,915091008.0,2.36,1.63,2.55,2:1,1002844800.0,11.961,19.298,-0.09840351,0.15015817,0.663,1679616000.0,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,ce422961-0af7-3abb-bdb6-618d92a33599,finmb_28209,-14400000,65.51,95.0,62.0,69.03,68.0,2.7,hold,18.0,147915008.0,0.39,1727297024.0,7630528000.0,0.377,0.564,2786919936.0,65.386,7.394,0.02624,0.08218,1752599000.0,1259392512.0,1479979008.0,2.006,0.079,0.64046997,0.61979,0.30832002,USD,3.1737,Suite 400,
300 Cadwell Drive,Springfield,MA,01104,United States,800 286 5000,,https://www.eversource.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,9626.0,8.0,8.0,1.0,6.0,6.0,1685577600.0,1672444800.0,86400,2,70.64,70.31,69.425,71.34,70.64,70.31,69.425,71.34,2.7,0.0382,1684281600.0,0.6198,2.79,0.488028,17.081535,15.285409,1436885,1436885,1890824,2239070,2239070,0.0,0.0,900,1300,24848015360,67.79,94.41,1.9699277,74.5394,78.85285,2.587,0.03662231,USD,48567427072.0,0.115159996,347934851.0,348841984.0,4336870.0,4282481.0,1682640000.0,1685491200.0,0.0124,0.00401,0.83145,2.14,0.0125,0.0,45.152,1.5775603,1672444800.0,1703980800.0,1680220800.0,0.108,1452588032.0,4.17,4.66,2.43,,,3.85,13.116,-0.1323995,0.15015817,0.675,1684281600.0,NYQ,EQUITY,ES,ES,Eversource Energy (D/B/A),Eversource Energy,99153000,America/New_York,EDT,04c19fa1-e772-3b66-b0aa-d2efe61f25cd,finmb_292525,-14400000,71.23,104.0,73.0,87.62,87.0,2.3,buy,13.0,35975000.0,0.103,3702842880.0,23805646848.0,0.299,0.646,12613668864.0,149.674,36.267,0.03004,0.094510004,5409934000.0,-1282072960.0,2098509952.0,0.099,0.093,0.41531,0.29356,0.19701,USD,2.4983,,
1100 Park Place,San Mateo,CA,94403-7107,United States,650-655-7800,(650) 655-7810,https://www.essexapartmenthomes.com,REIT—Residential,REIT—Residential,Real Estate,1770.0,2.0,10.0,2.0,7.0,5.0,1685577600.0,1672444800.0,86400,2,234.2,232.56,231.09,233.56,234.2,232.56,231.09,233.56,9.24,0.039,1687996800.0,1.1833,3.07,0.766901,30.900396,40.256054,368761,368761,389187,409010,409010,0.0,0.0,900,800,15459840000,195.03,300.33,9.352256,218.0836,222.75066,8.91,0.038044408,USD,21318557696.0,0.29557,63699610.0,64181600.0,841209.0,1062350.0,1682640000.0,1685491200.0,0.013099999,0.0119,0.97603,2.42,0.0215,0.0,87.545,2.657833,1672444800.0,1703980800.0,1680220800.0,1.096,488592992.0,7.53,5.78,4.79,,,12.896,19.787,-0.10314524,0.15015817,2.31,1680134400.0,NYQ,EQUITY,ESS,ESS,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",770995800,America/New_York,EDT,ffea021a-2ef0-3d50-98bb-8ae2f868d64e,finmb_332646,-14400000,232.68,271.0,204.0,235.82,239.0,2.9,hold,19.0,70712000.0,1.102,1077405952.0,5975076864.0,0.141,0.355,1653059968.0,102.54,25.481,0.02671,0.086,1122739000.0,820641344.0,937425024.0,1.125,0.05,0.68785006,0.65176004,0.32381,USD,3.2471,Suite 200,
Eaton House,Dublin,,D04 Y0C2,Ireland,353 1 637 2900,,https://www.eaton.com,Specialty Industrial Machinery,Specialty Industrial Machinery,Industrials,92000.0,1.0,5.0,6.0,6.0,3.0,1685577600.0,1672444800.0,86400,2,194.23,193.45,192.85,195.72,194.23,193.45,192.85,195.72,3.44,0.018,1683244800.0,0.5141,2.65,1.114788,30.396255,20.928034,2396178,2396178,2121670,2570710,2570710,0.0,0.0,900,800,77663223808,122.5,197.49,3.63048,174.4302,161.38596,3.29,0.01693868,USD,85010235392.0,0.12004,396993642.0,398512992.0,5992159.0,4034067.0,1682640000.0,1685491200.0,0.015,0.0026699998,0.84014,2.83,0.0150999995,0.0,43.776,4.4508405,1672444800.0,1703980800.0,1680220800.0,0.199,2568000000.0,6.41,9.31,2.39,2:1,1298937600.0,3.974,20.494,0.53550315,0.15015817,0.86,1683244800.0,NYQ,EQUITY,ETN,ETN,"Eaton Corporation, PLC",Eaton Corporation plc,76253400,America/New_York,EDT,d915d9d9-a9db-3687-8919-cdbdb89be5d8,finmb_175265,-14400000,194.84,230.0,159.0,197.0,198.0,2.2,buy,17.0,524000000.0,1.315,4148000000.0,9262000128.0,0.824,1.501,21391998976.0,52.971,53.678,0.056560002,0.15067,6887000000.0,2019750016.0,2825999872.0,0.195,0.132,0.33643,0.19389999,0.14959,USD,2.4107,30 Pembroke Road,
639 Loyola Avenue,New Orleans,LA,70113,United States,504 576 4000,,https://www.entergy.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,12000.0,7.0,7.0,7.0,2.0,5.0,1685577600.0,1672444800.0,86400,2,99.53,99.16,98.12,100.89,99.53,99.16,98.12,100.89,4.28,0.042,1683072000.0,0.7591,3.7,0.651056,18.355839,13.990264,1193179,1193179,1246751,1452150,1452150,0.0,0.0,900,900,21269452800,94.94,122.46,1.5337769,103.9024,107.50705,4.16,0.041796442,USD,47516188672.0,0.082040004,210450737.0,211447008.0,2359539.0,2144941.0,1682640000.0,1685491200.0,0.0112,0.00385,0.89564,2.04,0.0127,0.0,61.757,1.6288031,1672444800.0,1703980800.0,1680220800.0,0.125,1137700992.0,5.48,7.19,2.31,,,3.426,12.583,-0.050231338,0.15015817,1.07,1683072000.0,NYQ,EQUITY,ETR,ETR,Entergy Corporation,Entergy Corporation,76253400,America/New_York,EDT,34672e59-5464-3650-805b-0d4655e5b335,finmb_269764,-14400000,100.59,130.0,96.0,116.43,118.0,2.2,buy,14.0,1970512000.0,9.319,3776265984.0,27588925440.0,0.551,0.904,13867370496.0,206.098,67.137,0.01897,0.08964,5278351000.0,-2895918592.0,3007066880.0,0.081,0.036,0.37745997,0.27231002,0.1303,USD,1.7461,,
1200 Main Street,Kansas City,MO,64105,United States,816 556 2200,,https://investors.evergy.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,4512.0,3.0,4.0,1.0,4.0,1.0,1685577600.0,1672444800.0,86400,2,58.85,58.65,57.86,59.2,58.85,58.65,57.86,59.2,2.45,0.0416,1684368000.0,0.7054,3.35,0.497535,17.5625,14.901515,1087887,1087887,1170198,1362290,1362290,59.01,59.32,1100,800,13553474560,54.12,71.58,2.2848067,60.5482,61.121,2.37,0.04027188,USD,25851422720.0,0.13028,228670351.0,229680992.0,2335359.0,2185295.0,1682640000.0,1685491200.0,0.010199999,0.00201,0.85049003,2.08,0.0117999995,0.0,41.315,1.4282948,1672444800.0,1703980800.0,1680220800.0,0.164,772800000.0,3.36,3.96,6.13,2:1,548640000.0,4.358,11.278,-0.054932714,0.15015817,0.613,1684368000.0,NMS,EQUITY,EVRG,EVRG,"Evergy, Inc.","Evergy, Inc.",99153000,America/New_York,EDT,62adc2ab-b034-316c-b95f-499a9fa33dcd,finmb_283024,-14400000,59.01,72.0,57.0,64.17,65.0,2.6,hold,6.0,28400000.0,0.124,2292100096.0,12350400512.0,0.068,0.519,5932000256.0,129.981,25.797,0.02725,0.08379,2634100000.0,-518024992.0,1899699968.0,0.17,0.06,0.45435002,0.38639,0.21468,USD,3.061,,
One Edwards Way,Irvine,CA,92614,United States,949 250 2500,949 250 2525,https://www.edwards.com,Medical Devices,Medical Devices,Healthcare,17300.0,3.0,6.0,3.0,4.0,3.0,1685577600.0,1672444800.0,86400,2,91.91,91.52,90.33,92.25,91.91,91.52,90.33,92.25,,,,0.0,,1.01338,37.485596,31.51903,2043984,2043984,2691335,3152860,3152860,0.0,0.0,800,800,55220391936,67.13,107.92,10.038611,86.7038,81.3142,0.0,0.0,USD,55253303296.0,0.27065,600598572.0,606217984.0,11112789.0,9177755.0,1682640000.0,1685491200.0,0.0183,0.00838,0.87234,4.55,0.0185,0.0,9.865,9.233654,1672444800.0,1703980800.0,1680220800.0,-0.089,1488800000.0,2.43,2.89,3.69,3:1,1590969600.0,10.045,28.754,-0.02702415,0.15015817,,,NYQ,EQUITY,EW,EW,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,954167400,America/New_York,EDT,8cdb36f4-8677-373d-bde5-dd7ead8c731e,finmb_411220,-14400000,91.09,105.0,73.0,94.2,95.0,2.4,buy,22.0,1254200064.0,2.069,1921600000.0,687800000.0,1.879,3.01,5500800000.0,11.346,8.939,0.13045,0.25007,4303600000.0,994537472.0,1239000064.0,-0.051,0.088,0.79839,0.34932998,0.32386002,USD,6.1246,,
10 South Dearborn Street,Chicago,IL,60680-5379,United States,800 483 3220,,https://www.exeloncorp.com,Utilities—Regulated Electric,Utilities—Regulated Electric,Utilities,19063.0,10.0,1.0,2.0,4.0,5.0,1685577600.0,1672444800.0,86400,2,40.74,40.54,40.01,40.92,40.74,40.54,40.01,40.92,1.44,0.0353,1683849600.0,0.6073,3.3,0.610915,18.10177,16.298805,3521731,3521731,6519798,6351750,6351750,40.6,41.0,3000,800,40687816704,35.19,47.23,2.106649,41.349,41.03145,1.37,0.033627883,USD,81780744192.0,0.11608,992997579.0,994569024.0,11144448.0,11750664.0,1682640000.0,1685491200.0,0.0112,0.00201,0.84914,1.57,0.0112,0.0,25.203,1.6232195,1672444800.0,1703980800.0,1680220800.0,0.121,2241999872.0,2.26,2.51,2.73,1402:1000,1643760000.0,4.234,13.029,-0.03125739,0.15015817,0.36,1683849600.0,NMS,EQUITY,EXC,EXC,Exelon Corporation,Exelon Corporation,105197400,America/New_York,EDT,6d3f2d3b-bdf6-31c1-92eb-055f5a0358c5,finmb_296181,-14400000,40.91,48.0,39.0,45.32,45.0,2.3,buy,14.0,522000000.0,0.525,6277000192.0,41784000512.0,0.48,0.961,19313999872.0,166.696,19.519,0.0239,0.09235,8114000000.0,-3118000128.0,3572000000.0,0.101,0.044,0.43175998,0.325,0.18768999,USD,2.5591,54th Floor PO Box 805398,
1015 Third Avenue,Seattle,WA,98104,United States,206 674 3400,,https://www.expeditors.com,Integrated Freight & Logistics,Integrated Freight & Logistics,Industrials,19900.0,9.0,4.0,9.0,2.0,6.0,1685577600.0,1672444800.0,86400,2,115.79,114.48,113.7,116.35,115.79,114.48,113.7,116.35,1.38,0.0119,1685491200.0,0.1749,1.18,0.98345,15.087354,22.041904,1133756,1133756,1256216,1393910,1393910,115.0,115.89,800,800,17681090560,86.08,120.44,1.1787728,113.867,106.74295,1.34,0.011572675,USD,15864834048.0,0.08249,151742499.0,152792000.0,10755356.0,9145369.0,1682640000.0,1685491200.0,0.0704,0.00698,1.03677,7.41,0.096,0.0,20.609,5.6150227,1672444800.0,1703980800.0,1680220800.0,-0.347,1237300992.0,7.67,5.25,-1.18,2:1,1151280000.0,1.058,9.326,0.20004153,0.15015817,0.69,1685491200.0,NMS,EQUITY,EXPD,EXPD,Expeditors International of Was,"Expeditors International of Washington, Inc.",465053400,America/New_York,EDT,887ad785-966b-33ef-b557-a45155fda78c,finmb_270071,-14400000,115.72,130.0,85.0,103.81,100.5,3.3,hold,16.0,2350793984.0,15.386,1701203968.0,520622016.0,2.247,2.419,14999574528.0,16.526,93.937,0.15442,0.35347998,2275468000.0,1994045568.0,2262140928.0,-0.293,-0.444,0.13608,0.11342,0.10944,USD,,,
1111 Expedia Group Way West,Seattle,WA,98119,United States,206 481 7200,,https://www.expediagroup.com,Travel Services,Travel Services,Consumer Cyclical,16500.0,10.0,10.0,10.0,10.0,10.0,1685577600.0,1672444800.0,86400,2,106.92,106.28,104.7,107.28,106.92,106.28,104.7,107.28,,,1583712000.0,0.0,,1.603169,53.035355,9.029235,2517967,2517967,2596854,2886090,2886090,105.42,106.96,1300,1100,15554606080,82.39,124.95,1.2873132,97.3002,99.01185,0.0,0.0,USD,17739948032.0,0.02723,141765582.0,142600992.0,4668280.0,3792865.0,1682640000.0,1685491200.0,0.0315,0.00485,0.97676,1.73,0.0374,5523450.0,12.245,8.575746,1672444800.0,1703980800.0,1680220800.0,,329000000.0,1.98,11.63,0.39,1:2,1324425600.0,1.468,12.883,0.11689007,0.15015817,0.34,1583712000.0,NMS,EQUITY,EXPE,EXPE,"Expedia Group, Inc.","Expedia Group, Inc.",1121952600,America/New_York,EDT,7a3a4658-7dda-3ee4-bdf5-94a0eb6dd758,finmb_25915843,-14400000,105.01,175.0,90.0,125.04,120.0,2.5,buy,26.0,5948000256.0,40.155,1376999936.0,6547999744.0,0.583,0.83,12083000320.0,199.027,77.601,0.02994,0.09508,10010000000.0,2579249920.0,3606000128.0,,0.185,0.85931,0.11396,0.09824,USD,0.7215,,
2795 East Cottonwood Parkway,Salt Lake City,UT,84121-7033,United States,801 365 4600,801 365 4855,https://www.extraspace.com,REIT—Industrial,REIT—Industrial,Real Estate,4781.0,2.0,6.0,5.0,9.0,7.0,1685577600.0,1672444800.0,86400,2,143.8,143.46,142.365,146.33,143.8,143.46,142.365,146.33,6.48,0.045100003,1686700800.0,0.96379995,3.16,0.555985,22.957546,23.06635,790693,790693,1382258,1215420,1215420,0.0,0.0,1000,800,20771964928,139.97,216.52,10.251209,150.0694,159.1087,6.12,0.04255911,USD,27678603264.0,0.42117,132844172.0,135048992.0,12313470.0,11615180.0,1682640000.0,1685491200.0,0.0912,0.01554,0.98232,12.67,0.1272,0.0,24.097,6.0592604,1672444800.0,1703980800.0,1680220800.0,-0.036,852193984.0,6.36,6.33,4.1,,,13.66,19.739,-0.13027161,0.15015817,1.62,1686700800.0,NYQ,EQUITY,EXR,EXR,Extra Space Storage Inc,Extra Space Storage Inc.,1092663000,America/New_York,EDT,eb63de47-b869-3d31-9fef-a05620191725,finmb_8057672,-14400000,146.01,189.0,145.0,169.5,168.0,2.5,buy,10.0,88131000.0,0.653,1402238976.0,7567242752.0,0.929,4.442,2026294016.0,187.647,15.107,0.06097,0.23065001,1515898000.0,283418240.0,1232322944.0,-0.039,0.134,0.77032995,0.69202006,0.54705,USD,6.6557,Suite 300,
